,Area_sq.ft,Price,Price_per_sq.ft,Locality,Booking_start,Agent_Name,Direction,parking,Type_BHK,Type_Of_House
1012,3100,223.0,7200,Srinivas Nagar-Kompally        ,2,Santosh Naik,east,Yes,3BHK,Apartment
1013,3000,280.0,9349,Rama Rao Nagar        ,2,Jagannath,west,No,4BHK,Apartment
1014,3000,229.0,7649,Radha Krishna Society        ,2,Arun,east,Yes,4BHK,Apartment
1015,2795,255.0,9129,Shakti Nagar        ,2,Arun,east,Yes,3BHK,Apartment
1016,2960,330.0,11161,Friends Colony        ,2,Gagandeep,east,No,4BHK,Apartment
1017,1890,115.0,6120,Vaidehi Nagar        ,2,Uma R Maheswari,east,Yes,3BHK,Apartment
1018,1850,133.0,7200,Raj Bhavan Road        ,2,Vidula,east,Yes,3BHK,Apartment
1019,2300,258.0,11252,Vivekananda Nagar-Shaikpet        ,2,Aruna Janarthanan,north,No,3BHK,Apartment
1020,1112,105.0,9442,Tellapur        ,8,SR Reddy,east,Yes,2BHK,Apartment
1021,856,57.78,6750,Satyam Enclave        ,17,Amita Kumar,east,Yes,3BHK,Apartment
1022,1635,200.0,12273,Domalguda        ,19,Pankaj Jain,east,Yes,3BHK,Apartment
1023,1148,108.0,9428,Puppalaguda        ,27,Charu Khan,east,No,2BHK,Apartment
1024,1482,107.0,7260,Khanamet        ,19,Pranati,east,Yes,3BHK,Apartment
1025,1850,133.0,7200,Raj Bhavan Road        ,2,Vidula,north east,Yes,3BHK,Apartment
1026,1833,98.98,5400,Sri Krishna Nagar        ,2,Lipsa,south,Yes,3BHK,Apartment
1027,1865,191.0,10259,Akbarpura        ,2,Rawa,east,No,3BHK,Apartment
1028,1800,95.58,5310,GUlmohar Garden        ,2,Punith Lokesh,north,Yes,3BHK,Apartment
1029,1800,114.0,6356,Subashnagar        ,2,Shabina,east,No,3BHK,Apartment
1030,1895,135.0,7126,Shastri Nagar        ,2,Vishwaraj Zala,north,Yes,3BHK,Apartment
1031,3100,223.0,7200,Srinivas Nagar-Kompally        ,2,Santosh Naik,east,No,3BHK,Apartment
1032,1900,102.0,5400,MN Reddy Nagar        ,2,Santosh Kumar Singh,east,No,3BHK,Apartment
1033,2200,195.0,8903,Adarsh Nagar Colony-Nagole        ,2,G V Venkata Rao,east,Yes,3BHK,Apartment
1034,3000,229.0,7649,Radha Krishna Society        ,2,Arun,north east,Yes,4BHK,Apartment
1035,3000,280.0,9349,Rama Rao Nagar        ,2,Jagannath,east,Yes,4BHK,Apartment
1036,2965,330.0,11160,Ambedkar Nagar-Film Nagar        ,2,Kumar A,east,Yes,4BHK,Apartment
1037,3000,280.0,9349,Vinayakarao Nagar        ,2,Murali Rao,east,Yes,4BHK,Apartment
1038,2660,274.0,10331,Tapovan Park        ,2,Sandeep Kumar,east,Yes,3BHK,Apartment
1039,2960,330.0,11161,Brindavan Colony-Hakimpet        ,2,Rakshith B,west,Yes,4BHK,Apartment
1040,1840,121.0,6600,Vimana Puri        ,2,Samreen,north east,No,2BHK,Apartment
1041,1833,120.0,6600,Mothi Nagar-Ameerpet        ,2,Aravinda,east,No,3BHK,Apartment
1042,2800,181.0,6480,RTC Colony-Chintalakunta        ,2,Filimakhanum,north,Yes,3BHK,Apartment
1043,1850,162.0,8800,Leelanagar        ,2,Subir Das,north east,Yes,3BHK,Apartment
1044,2000,144.0,7200,New Mirjalguda        ,2,Dheeraj,east,No,3BHK,Apartment
1045,1890,141.0,7480,Vivekananda Colony        ,2,Vinothiniraju,east,Yes,3BHK,Apartment
1046,2695,246.0,9129,New vivekananda Nagar        ,2,Mohitahlawat,east,No,3BHK,Apartment
1047,2698,178.0,6600,Nandamuri Nagar        ,2,Adill,east,Yes,3BHK,Apartment
1048,3000,229.0,7649,Bagh Ameer        ,2,T V Ambareesh,east,Yes,4BHK,Apartment
1049,1833,120.0,6600,Raja Rajeshwari Nagar-Sanath Nagar        ,2,Masood Sharief,east,No,3BHK,Apartment
1050,1800,64.0,3556,Srisailam Highway        ,3,venkat,east,UnKnown,Plot,Plot
1051,968,73.81,7625,Chanda Nagar        ,19,Magi,north,Yes,2BHK,Apartment
1052,1141,74.18,6502,Hyder Nagar        ,19,Naweli,north east,No,3BHK,Apartment
1053,1431,57.95,4050,Surya Nagar-Mallapur        ,19,Akhil,east,No,3BHK,Apartment
1054,1540,101.0,6600,Neknampur        ,19,Arjun Agarwal,east,Yes,3BHK,Apartment
1055,1934,115.0,5985,NGO Colony        ,2,Muniramu,east,Yes,3BHK,Apartment
1056,1900,102.0,5400,Bajpayee Nagar        ,2,Nazim,east,Yes,3BHK,Apartment
1057,1840,99.36,5400,Vimana Puri        ,2,Shweta Malagi,north east,Yes,2BHK,Apartment
1058,1840,121.0,6600,Vimana Puri        ,2,Samreen,east,No,2BHK,Apartment
1059,1833,120.0,6600,Mothi Nagar-Ameerpet        ,2,Aravinda,east,Yes,3BHK,Apartment
1060,2800,181.0,6480,RTC Colony-Chintalakunta        ,2,Filimakhanum,north,Yes,3BHK,Apartment
1061,1850,162.0,8800,Leelanagar        ,2,Subir Das,east,Yes,3BHK,Apartment
1062,2575,261.0,10172,Naya Qila        ,2,Tomy George,east,Yes,3BHK,Apartment
1063,2000,144.0,7200,New Mirjalguda        ,2,Dheeraj,east,Yes,3BHK,Apartment
1064,2800,221.0,7920,KBR Nagar        ,2,Reena,east,Yes,3BHK,Apartment
1065,2595,191.0,7397,Pati        ,2,Chirant,east,Yes,3BHK,Apartment
1066,2795,208.0,7469,Sarojini Naidu Nagar        ,2,Arun,east,Yes,3BHK,Apartment
1067,2800,181.0,6480,Abhyudaya Nagar-Chintalakunta        ,2,Yuvaraj S,east,No,3BHK,Apartment
1068,2698,145.0,5400,Samatha Nagar Colony        ,2,Preet,east,No,3BHK,Apartment
1069,2800,221.0,7920,Sriramana Colony        ,2,Kumarswamy,east,No,3BHK,Apartment
1070,2695,246.0,9129,New vivekananda Nagar        ,2,Mohitahlawat,east,No,3BHK,Apartment
1071,2610,265.0,10169,Film Nagar        ,2,Jitendra Dave,east,No,3BHK,Apartment
1072,2698,178.0,6600,Nandamuri Nagar        ,2,Adill,east,Yes,3BHK,Apartment
1073,3000,229.0,7649,Bagh Ameer        ,2,T V Ambareesh,east,Yes,4BHK,Apartment
1074,1895,165.0,8710,Kabeernagar        ,2,Keerthi.Venkatraman,east,Yes,3BHK,Apartment
1075,1915,89.62,4680,Dargah Khaleej Khan        ,2,Laxminarayana,east,Yes,3BHK,Apartment
1076,1970,106.0,5400,Alkapur Township        ,2,Gopal Prasad,east,Yes,3BHK,Apartment
1077,1865,191.0,10259,Paramount Hills        ,2,Harsha,south,Yes,3BHK,Apartment
1078,1890,141.0,7480,Vinayakanagar Colony        ,2,Moni,north,Yes,3BHK,Apartment
1079,1900,125.0,6600,Gayatri Nagar-Jeedimetla        ,2,Livin Vinson,east,Yes,3BHK,Apartment
1080,1112,105.0,9442,Tellapur        ,8,SR Reddy,west,Yes,2BHK,Apartment
1081,2800,181.0,6480,Madhura Nagar Colony-Mansoorabad        ,10,Gulshan,east,Yes,3BHK,Apartment
1082,1316,98.65,7496,Miyapur        ,19,Prathamesh Sheth,north east,Yes,2BHK,Apartment
1083,1225,70.83,5782,Chilkanagar        ,11,Prathya,east,No,3BHK,Apartment
1084,641,48.46,7560,Yellareddy Guda-Kapra        ,27,Ananya Mehta,east,Yes,2BHK,Apartment
1085,1800,116.0,6490,NFC        ,2,Saniyafatima,east,Yes,3BHK,Apartment
1086,1833,98.98,5400,Old Patigadda        ,2,Pralhad Shanbhag,east,No,3BHK,Apartment
1087,1840,121.0,6600,Yadireddy Colony        ,2,Sheik,east,Yes,2BHK,Apartment
1088,2000,186.0,9349,KPHB Phase 5        ,2,Pachi,east,Yes,3BHK,Apartment
1089,2610,265.0,10169,Al-Hamra Colony        ,2,Geoson George,east,No,3BHK,Apartment
1090,1800,114.0,6356,Subashnagar        ,2,Shabina,east,Yes,3BHK,Apartment
1091,1895,135.0,7126,Shastri Nagar        ,2,Vishwaraj Zala,east,Yes,3BHK,Apartment
1092,2200,195.0,8903,Adarsh Nagar Colony-Nagole        ,2,G V Venkata Rao,north east,Yes,3BHK,Apartment
1093,1086,60.0,5525,Uppal        ,2,Inderjit Mehta,east,Yes,2BHK,Apartment
1094,935,57.0,6096,Ameenpur        ,2,Ahmed,east,No,2BHK,Apartment
1095,2080,285.0,13702,Kothaguda        ,12,Ravi Popuri(PRKS),east,No,3BHK,Apartment
1096,1800,116.0,6490,K L Reddy Nagar        ,2,Lata,east,Yes,3BHK,Apartment
1097,3000,229.0,7649,Rajiv Gandhi Nagar-Borabanda        ,2,Kannanpl,east,Yes,4BHK,Apartment
1098,1900,102.0,5400,Sriram Nagar-Jeedimetla        ,2,Nandika,north east,No,3BHK,Apartment
1099,2800,181.0,6480,KBR Nagar        ,2,Praveen Jain,east,Yes,3BHK,Apartment
1100,2795,255.0,9129,Moosapet        ,2,Viktelecom,east,Yes,3BHK,Apartment
1101,2800,181.0,6480,Hasthinapuram South        ,2,Saurabh Garg,east,Yes,3BHK,Apartment
1102,2800,221.0,7920,Christian Colony        ,2,Pranitha Y,east,Yes,3BHK,Apartment
1103,3000,280.0,9349,Radha Krishna Society        ,2,Arun,north,No,4BHK,Apartment
1104,2800,221.0,7920,Bank Colony-Hastinapuram        ,2,Bijith,north,Yes,3BHK,Apartment
1105,1950,128.0,6600,Gandipet        ,2,Anuraag,west,No,3BHK,Apartment
1106,2575,261.0,10172,Paramount Hills        ,2,Rizwan,east,Yes,3BHK,Apartment
1107,2800,181.0,6480,Akshvani Nagar Colony        ,2,Ritu Bihani,east,No,3BHK,Apartment
1108,2700,495.0,18333,Valluvar Nagar        ,2,Anisha Tiwary,east,Yes,4BHK,Villa
1109,1800,68.04,3780,Warangal highway        ,2,Anand Kumar,east,Yes,3BHK,Villa
1110,1647,29.28,1778,Sultanpur        ,3,Mazhar Ullah,west,UnKnown,Plot,Plot
1111,1255,93.87,7480,DRDL Colony        ,10,Shrikant Mehta,east,Yes,2BHK,Apartment
1112,837,35.0,4182,Moula Ali        ,12,Dheeraj Chauhan,east,No,2BHK,Apartment
1113,1280,140.0,11000,Qutub Shahi Tombs        ,24,Aarav Choudhury,east,Yes,3BHK,Apartment
1114,1348,74.41,5521,Sri Ganesh Nagar        ,11,Praveendra,east,Yes,3BHK,Apartment
1115,2700,495.0,18333,Bapuji Nagar-Yapral        ,2,Janaki H,east,Yes,4BHK,Villa
1116,2695,201.0,7469,Rama Rao Nagar        ,2,Veerataurus,north,Yes,3BHK,Apartment
1117,2700,405.0,15000,Osmania University Teachers Colony        ,2,Durgacaa,east,Yes,4BHK,Villa
1118,2700,405.0,15000,Excise Colony        ,2,Sukesh Kumar,north east,No,4BHK,Villa
1119,2700,385.0,14259,Sai Baba Officers Colony        ,2,Biibu,east,No,4BHK,Villa
1120,2965,330.0,11160,Deluxe Colony        ,2,Annappa Rameshappa,west,Yes,4BHK,Apartment
1121,3000,229.0,7649,Moosapet        ,2,Neala,north east,Yes,4BHK,Apartment
1122,2800,181.0,6480,Sriramana Colony        ,2,Anni,north,Yes,3BHK,Apartment
1123,2610,265.0,10169,Journalist Colony        ,2,Sajee James,east,Yes,3BHK,Apartment
1124,2795,208.0,7469,AGI Colony        ,2,Shalini Kumari,east,Yes,3BHK,Apartment
1125,2178,104.0,4783,Green Park Enclave        ,2,Asharanihjb,east,No,3BHK,Apartment
1126,2800,221.0,7920,Jahangir Nagar Colony        ,2,Siddhartha Parida,east,Yes,3BHK,Apartment
1127,2800,221.0,7920,RTC Colony-Chintalakunta        ,2,Ravindra,east,Yes,3BHK,Apartment
1128,1833,120.0,6600,Balkampet        ,2,Rajesh Kanukollu,east,Yes,3BHK,Apartment
1129,2200,160.0,7285,Lalitha Nagar-Nagole        ,2,Salman,east,Yes,3BHK,Apartment
1130,2610,265.0,10169,MLA Colony        ,2,Arun,east,Yes,3BHK,Apartment
1131,2800,221.0,7920,Madhava Nagar        ,2,Sridhar Tk,east,Yes,3BHK,Apartment
1132,2700,495.0,18333,Kandiguda        ,2,Neelima G,east,Yes,4BHK,Villa
1133,2800,181.0,6480,Sri Venkataramana Colony        ,2,Lohit,east,Yes,3BHK,Apartment
1134,2800,181.0,6480,AV Nagar-Hastinapuram        ,2,Uday,north,Yes,3BHK,Apartment
1135,2660,274.0,10331,Malakunta        ,2,Gowri,north,Yes,3BHK,Apartment
1136,1800,116.0,6490,Venkataramana Colony-Mallapur        ,2,Shashank Pundir,east,Yes,3BHK,Apartment
1137,2349,204.0,8692,Kothaguda        ,2,Nithin Kg,east,Yes,3BHK,Apartment
1138,1900,125.0,6600,Kistamma Enclave        ,2,Charan,west,Yes,3BHK,Apartment
1139,1900,125.0,6600,Tirumala Enclave-Alwal        ,2,Navin Rao,east,No,3BHK,Apartment
1140,1112,105.0,9442,Tellapur        ,8,SR Reddy,east,No,2BHK,Apartment
1141,1434,101.0,7047,Narsingi        ,19,Ak Tiwari,east,Yes,3BHK,Apartment
1142,2140,357.0,16706,VST Colony-Punjagutta        ,11,Ram Bhajan,east,Yes,4BHK,Apartment
1143,1216,82.92,6819,Uppal        ,19,Bharath,east,Yes,2BHK,Apartment
1144,1284,115.0,8995,Sudarshan Nagar Colony        ,11,Balaganesh,east,Yes,3BHK,Apartment
1145,1890,115.0,6120,Sri Shakti Nagar        ,2,Manjunath Govind Bhat,east,Yes,3BHK,Apartment
1146,1900,102.0,5400,Auronautic Enclave        ,2,Jyothi Dammour,north east,Yes,3BHK,Apartment
1147,3100,223.0,7200,Satyam Enclave        ,2,Chandan.Purkait,east,Yes,3BHK,Apartment
1148,2698,145.0,5400,Manikya Nagar        ,2,B R Prosad,east,Yes,3BHK,Apartment
1149,2960,330.0,11161,HUDA Enclave        ,2,Sudarshansk,east,Yes,4BHK,Apartment
1150,2700,405.0,15000,CPI Colony        ,2,Sathvika,north east,Yes,4BHK,Villa
1151,2700,385.0,14259,Vivekanandapuram Colony        ,2,Shanta Mishra,east,Yes,4BHK,Villa
1152,2700,495.0,18333,Bapuji Nagar-Yapral        ,2,Janaki H,north,Yes,4BHK,Villa
1153,2349,204.0,8692,Kothaguda        ,2,Nithin Kg,north,Yes,3BHK,Apartment
1154,1800,95.58,5310,SV Nagar        ,2,Sadhana,east,Yes,3BHK,Apartment
1155,2800,181.0,6480,Ganesh Nagar Colony-Vanasthalipuram        ,2,Jaisbhati,east,Yes,3BHK,Apartment
1156,2700,495.0,18333,Laxmipuri        ,2,Umar,east,No,4BHK,Villa
1157,2700,315.0,11667,Chandragiri Colony        ,2,Anantha Murthy,north,Yes,4BHK,Villa
1158,2700,315.0,11667,Bajarang Nagar Colony        ,2,Rahul Bhandari,east,No,4BHK,Villa
1159,2800,181.0,6480,Sri Venkataramana Colony        ,2,Lohit,north east,Yes,3BHK,Apartment
1160,2800,181.0,6480,AV Nagar-Hastinapuram        ,2,Uday,east,Yes,3BHK,Apartment
1161,2660,274.0,10331,Malakunta        ,2,Gowri,west,Yes,3BHK,Apartment
1162,1800,116.0,6490,Venkataramana Colony-Mallapur        ,2,Shashank Pundir,east,No,3BHK,Apartment
1163,1840,121.0,6600,Gayatri Nagar-Jeedimetla        ,2,Shre,north,Yes,2BHK,Apartment
1164,2698,178.0,6600,Bhagath Singh Nagar        ,2,Prasad Shetty,east,No,3BHK,Apartment
1165,2575,261.0,10172,Alijahpur        ,2,Umar,east,Yes,3BHK,Apartment
1166,1900,125.0,6600,Tirumala Enclave-Alwal        ,2,Navin Rao,north east,Yes,3BHK,Apartment
1167,1900,125.0,6600,Kistamma Enclave        ,2,Charan,east,No,3BHK,Apartment
1168,1800,93.6,5200,Panchsheel Enclave-Jeedimetla        ,2,Sandeep Grover,west,Yes,3BHK,Apartment
1169,2700,405.0,15000,Lakshmipuri Excise Colony        ,2,Raj,west,Yes,4BHK,Villa
1170,1800,50.0,2778,Kandi        ,3,venkat,north,UnKnown,Plot,Plot
1171,1500,115.0,7700,Serilingampally        ,19,Anjana,north east,Yes,3BHK,Apartment
1172,1742,127.0,7308,Gandhi Nagar-Kapra        ,24,Kabir Sharma,east,Yes,3BHK,Apartment
1173,1350,46.0,3407,Ghatkesar        ,17,Shashi Singh,west,UnKnown,Plot,Plot
1174,1496,85.0,5682,Vattepally        ,31,Mahilarasan,east,Yes,3BHK,Apartment
1175,2700,385.0,14259,Sai Baba Officers Colony        ,2,Biibu,east,Yes,4BHK,Villa
1176,2700,495.0,18333,Kandiguda        ,2,Neelima G,north,Yes,4BHK,Villa
1177,1800,24.0,1333,Srisailam Highway        ,2,Kavita Choudhury,north east,UnKnown,Plot,Plot
1178,1800,24.0,1333,Srisailam Highway        ,2,Prateek Kapoor,north,UnKnown,Plot,Plot
1179,1800,24.0,1333,Srisailam Highway        ,2,Rajni Rao,east,UnKnown,Plot,Plot
1180,1000,764.0,76490,Malakpet        ,2,Munir Patel,east,UnKnown,Plot,Plot
1181,1350,21.0,1556,Sadashivpet        ,2,Ramlandster,north,UnKnown,Plot,Plot
1182,1800,24.0,1333,Srisailam Highway        ,2,Zahid Singh,east,UnKnown,Plot,Plot
1183,1800,24.0,1333,Srisailam Highway        ,2,Anjali Verma,east,UnKnown,Plot,Plot
1184,1800,24.0,1333,Srisailam Highway        ,2,Megha Rao,east,UnKnown,Plot,Plot
1185,1800,24.0,1333,Srisailam Highway        ,2,Tejas Singh,east,UnKnown,Plot,Plot
1186,1800,24.0,1333,Srisailam Highway        ,2,Inderjit Rao,east,UnKnown,Plot,Plot
1187,1350,17.0,1259,Shadnagar        ,2,Inderveer Joshi,east,UnKnown,Plot,Plot
1188,1800,24.0,1333,Srisailam Highway        ,2,Tanvi Sharma,north,UnKnown,Plot,Plot
1189,1800,24.0,1333,Srisailam Highway        ,2,Seema Sharma,north,UnKnown,Plot,Plot
1190,1800,24.0,1333,Srisailam Highway        ,2,Arjun Kumar,east,UnKnown,Plot,Plot
1191,1320,18.0,1364,Shadnagar        ,2,Sukirti Kapoor,east,UnKnown,Plot,Plot
1192,2400,85.0,3542,Shankarpalli        ,2,Varna Iyer,east,UnKnown,Plot,Plot
1193,1790,75.18,4200,Kompally        ,2,Pavan,north,Yes,3BHK,Apartment
1194,1503,29.3,1949,Keesara        ,25,vanivas1017,east,UnKnown,Plot,Plot
1195,1833,120.0,6600,Punjagutta        ,2,M V Subramanian,east,No,3BHK,Apartment
1196,2800,181.0,6480,Madhava Nagar        ,2,Varthika,east,No,3BHK,Apartment
1197,2800,221.0,7920,Sri Venkataramana Colony        ,2,Parin Narain,west,No,3BHK,Apartment
1198,3000,229.0,7649,KPHB Phase 4        ,2,Anatony,east,Yes,4BHK,Apartment
1199,2800,221.0,7920,Vijaypuri Colony        ,2,Sarsys,east,Yes,3BHK,Apartment
1200,920,82.0,8913,Chanda Nagar        ,4,Asha,north east,Yes,2BHK,Apartment
1201,1431,57.95,4050,CCMB Colony        ,19,Raj Kapoor,north east,Yes,3BHK,Apartment
1202,1410,87.26,6189,Alwal        ,17,Trisha Rao,east,Yes,3BHK,Apartment
1203,3708,225.0,6068,Gachibowli        ,18,Saumile Kumar,north east,UnKnown,Plot,Plot
1204,2010,143.0,7149,Noorkhan Bazaar        ,17,Shruti Pillai,east,Yes,4BHK,Apartment
1205,2800,221.0,7920,Sri Venkataramana Colony        ,2,Parin Narain,east,No,3BHK,Apartment
1206,2178,104.0,4783,Pradhamapuri Colony        ,2,Shreesha Bhat B,north,Yes,3BHK,Apartment
1207,2800,221.0,7920,Vijay Sree Colony        ,2,Vineeth P Nair,east,No,3BHK,Apartment
1208,2800,181.0,6480,Vasavi Colony        ,2,Tanseem,west,Yes,3BHK,Apartment
1209,2800,221.0,7920,Vasavi Colony        ,2,Ravi,north east,No,3BHK,Apartment
1210,2800,181.0,6480,Bhagya Nagar        ,2,Rama Krishna Reddy,north,Yes,3BHK,Apartment
1211,2800,221.0,7920,AV Nagar-Hastinapuram        ,2,Carcare Club,east,Yes,3BHK,Apartment
1212,2965,330.0,11160,Arvind Nagar Colony        ,2,Deepika Bijlani,east,Yes,4BHK,Apartment
1213,2965,330.0,11160,Pochamma Basti-Rai Durg        ,2,Athish.Shubhan,north east,No,4BHK,Apartment
1214,2800,221.0,7920,Akshvani Nagar Colony        ,2,Jayanti,west,Yes,3BHK,Apartment
1215,1800,83.16,4620,Yamnampet        ,2,Ankitkdss,north,No,3BHK,Villa
1216,2700,495.0,18333,Chandragiri Colony        ,2,Raj,east,Yes,4BHK,Villa
1217,1800,54.0,3000,Sangareddy        ,5,SRR Fortune Infra Developers LLP,east,UnKnown,Plot,Plot
1218,1800,54.0,3000,Rudraram        ,5,SRR Fortune Infra Developers LLP,north east,UnKnown,Plot,Plot
1219,1800,54.0,3000,Sangareddy        ,5,SRR Fortune Infra Developers LLP,east,UnKnown,Plot,Plot
1220,1800,54.0,3000,Rudraram        ,5,SRR Fortune Infra Developers LLP,east,UnKnown,Plot,Plot
1221,1500,41.0,2733,Tukkuguda        ,9,Yadavalligopi,north east,UnKnown,Plot,Plot
1222,2800,181.0,6480,Christian Colony        ,2,Nikita Goyal,east,No,3BHK,Apartment
1223,2800,181.0,6480,Vijaypuri Colony        ,2,Hussain Ahmed,west,Yes,3BHK,Apartment
1224,2800,181.0,6480,Jahangir Nagar Colony        ,2,Guptaa.Pavan,east,No,3BHK,Apartment
1225,2610,265.0,10169,Nandagiri Hills        ,2,Pushkar Kumar,north east,Yes,3BHK,Apartment
1226,2795,208.0,7469,Vinayakarao Nagar        ,2,Anoop M S,north east,No,3BHK,Apartment
1227,2795,255.0,9129,Ganesh Nagar-Borabanda        ,2,Falguni,east,No,3BHK,Apartment
1228,1125,70.0,6222,Parvathapur        ,6,Laxman,east,Yes,2BHK,Villa
1229,900,65.0,7222,Peerzadiguda        ,6,Laxman,south,Yes,3BHK,Villa
1230,1800,64.0,3556,Srisailam Highway        ,3,venkat,east,UnKnown,Plot,Plot
1231,1111,17.77,1600,Zahirabad        ,17,Shilpa Patel,east,UnKnown,Plot,Plot
1232,1135,149.0,13157,Kondapur        ,19,Subhiksha Care,east,Yes,2BHK,Apartment
1233,2250,41.25,1833,Dasarlapally        ,17,Naidu,east,UnKnown,Plot,Plot
1234,1039,93.0,8951,Nallagandla        ,30,Dev Mehta,east,Yes,2BHK,Apartment
1235,1125,70.0,6222,Parvathapur        ,6,Laxman,east,Yes,2BHK,Villa
1236,900,65.0,7222,Peerzadiguda        ,6,Laxman,north east,Yes,3BHK,Villa
1237,1540,202.0,13117,Khajaguda        ,8,SR Reddy,east,No,3BHK,Apartment
1238,1305,117.0,8966,Rajendra Nagar        ,16,Full basket Property services pvt limited,east,Yes,3BHK,Apartment
1239,879,81.32,9251,Bachupally        ,16,Full basket Property services pvt limited,east,Yes,2BHK,Apartment
1240,1082,100.0,9242,Bachupally        ,16,Full basket Property services pvt limited,north east,Yes,3BHK,Apartment
1241,2800,221.0,7920,LB Nagar        ,2,Sapna,north east,Yes,3BHK,Apartment
1242,1800,14.0,778,Kadthal        ,6,dreamfortuneindia,east,UnKnown,Plot,Plot
1243,1800,24.0,1333,Srisailam Highway        ,6,dreamfortuneindia,east,UnKnown,Plot,Plot
1244,1800,30.0,1667,Kadthal        ,6,dreamfortuneindia,east,UnKnown,Plot,Plot
1245,1800,24.0,1333,Kadthal        ,6,dreamfortuneindia,east,UnKnown,Plot,Plot
1246,1800,20.0,1111,Kadthal        ,6,dreamfortuneindia,east,UnKnown,Plot,Plot
1247,3600,28.0,778,Kadthal        ,6,dreamfortuneindia,north,UnKnown,Plot,Plot
1248,3600,28.0,778,Srisailam Highway        ,6,dreamfortuneindia,north,UnKnown,Plot,Plot
1249,1350,34.5,2556,Kandukur        ,13,Srinivasulu,east,UnKnown,Plot,Plot
1250,1500,38.41,2561,Kandukur        ,13,Srinivasulu,east,UnKnown,Plot,Plot
1251,1647,108.0,6557,Miyapur        ,6,Kailash,north,No,3BHK,Apartment
1252,1980,24.2,1222,Yadagirigutta        ,16,Sudhakar,south,UnKnown,Plot,Plot
1253,1440,17.6,1222,Yadagirigutta        ,16,Sudhakar,east,UnKnown,Plot,Plot
1254,4500,55.0,1222,Yadagirigutta        ,16,sudhakar,east,UnKnown,Plot,Plot
1255,1440,25.6,1778,Ramoji Film City        ,4,gangaram4761,east,UnKnown,Plot,Plot
1256,1800,32.0,1778,Choutuppal        ,4,gangaram4761,north,UnKnown,Plot,Plot
1257,1710,30.4,1778,Choutuppal        ,4,gangaram4761,north east,UnKnown,Plot,Plot
1258,1440,25.6,1778,Choutuppal        ,4,gangaram4761,west,UnKnown,Plot,Plot
1259,1503,41.0,2728,Tukkuguda        ,12,Yadavalligopi,east,UnKnown,Plot,Plot
1260,1647,29.28,1778,Sultanpur        ,3,Mazhar Ullah,north,UnKnown,Plot,Plot
1261,1800,35.0,1944,Tukkuguda        ,12,Saloni,east,UnKnown,Plot,Plot
1262,1075,62.89,5851,Central Excise Colony        ,17,Sunita Gupta,north,No,3BHK,Apartment
1263,1152,128.0,11129,Geeta Nagar Colony        ,17,Ankita Mehta,north,Yes,3BHK,Apartment
1264,949,43.67,4602,Nagarjuna Sagar Road        ,11,Varadavinayaka,east,Yes,2BHK,Apartment
1265,1800,26.0,1444,Sadashivpet        ,10,satya,north east,UnKnown,Plot,Plot
1266,1950,203.0,10410,Rajendra Nagar        ,2,Propmart Technologies Ltd,east,Yes,3BHK,Apartment
1267,1353,142.0,10495,Rajendra Nagar        ,2,Propmart Technologies Ltd,north east,Yes,3BHK,Apartment
1268,1735,205.0,11816,Rajendra Nagar        ,2,Propmart Technologies Ltd,west,Yes,3BHK,Apartment
1269,1946,203.0,10432,Rajendra Nagar        ,2,Propmart Technologies Ltd,north east,Yes,3BHK,Apartment
1270,2689,301.0,11194,Rajendra Nagar        ,2,Propmart Technologies Ltd,east,Yes,4BHK,Apartment
1271,3964,650.0,16398,Rai Durg        ,2,Propmart Technologies Ltd,east,No,4BHK,Apartment
1272,2686,301.0,11206,Rajendra Nagar        ,2,Propmart Technologies Ltd,east,Yes,4BHK,Apartment
1273,4855,755.0,15551,Rai Durg        ,2,Propmart Technologies Ltd,east,Yes,4BHK,Apartment
1274,1350,142.0,10519,Rajendra Nagar        ,2,Propmart Technologies Ltd,east,No,3BHK,Apartment
1275,1738,205.0,11795,Rajendra Nagar        ,2,Propmart Technologies Ltd,east,Yes,3BHK,Apartment
1276,1485,26.0,1751,Kadthal        ,10,Yadavalligopi,east,UnKnown,Plot,Plot
1277,1680,200.0,11905,Shaikpet        ,14,svenkatreddy,east,No,3BHK,Apartment
1278,1327,720.0,54258,Manikonda        ,6,Meghana,east,Yes,3BHK,Apartment
1279,2685,181.0,6749,Kompally        ,2,subrahmanyam,north east,Yes,4BHK,Apartment
1280,2250,25.0,1111,Vijayawada Highway        ,16,Sudhakar,east,UnKnown,Plot,Plot
1281,1350,15.0,1111,Vijayawada Highway        ,16,Sudhakar,north east,UnKnown,Plot,Plot
1282,1200,53.0,4417,BN Reddy Nagar        ,14,DIAL TO PROPERTY,east,Yes,2BHK,Apartment
1283,834,74.51,8935,Bahadurguda        ,17,Harish Reddy,east,No,2BHK,Apartment
1284,1115,104.0,9406,Bahadurguda        ,17,Harish Reddy,east,Yes,3BHK,Apartment
1285,1980,17.6,889,Sadashivpet        ,9,satya,east,UnKnown,Plot,Plot
1286,1062,72.0,6780,Kukatpally        ,6,Sunila,north east,Yes,2BHK,Apartment
1287,1980,38.5,1944,Pulimamidi        ,4,Srikanth,east,UnKnown,Plot,Plot
1288,1800,26.0,1444,Sadashivpet        ,12,satya,north,UnKnown,Plot,Plot
1289,1244,102.0,8250,Nacharam        ,17,Harish Reddy,south,Yes,3BHK,Apartment
